rank,name_kr,name_en,ticker,reason_kr
1,테슬라,Tesla Inc.,TSLA,"전기차 및 자율주행 선도 기업. 서학개미 최다 보유 종목으로 투자자 팬덤이 가장 두터움"
2,엔비디아,NVIDIA Corp.,NVDA,"AI·딥러닝 필수 GPU 시장 독점. AI 반도체 붐의 최대 수혜주로 평가"
3,알파벳 A,Alphabet Inc. (Google),GOOGL,"검색·광고 시장 지배력 및 클라우드 성장. AI 기술 경쟁력과 자사주 매입도 매력적"
4,팔란티어,Palantir Technologies Inc.,PLTR,"빅데이터 분석 플랫폼. 정부·군사 부문 AI 도입 확대로 실적 성장 기대"
5,애플,Apple Inc.,AAPL,"글로벌 프리미엄 하드웨어 생태계 보유. 서비스 부문 매출 확대로 안정적 수익 창출"
6,QQQ,Invesco QQQ Trust,QQQ,"나스닥 100 추종 대표 ETF. 기술주 중심 성장성에 대한 간접 투자 수요 집중"
7,아이온큐,IonQ Inc.,IONQ,"양자 컴퓨팅 선도 기업. 차세대 기술 테마주로 개인 투자자의 높은 관심 집중"
8,VOO,Vanguard S&P 500 ETF,VOO,"S&P 500 추종 ETF. 낮은 보수로 분산 투자 효과를 노린 장기 투자 자금 유입"
9,TQQQ,ProShares UltraPro QQQ,TQQQ,"나스닥 100 3배 레버리지 ETF. 기술주 상승장 베팅 및 단기 차익 추구 목적"
10,마이크로소프트,Microsoft Corp.,MSFT,"오피스·클라우드(Azure) 시장 강자. 오픈AI 투자로 생성형 AI 생태계 주도"
11,SOXL,Direxion Daily Semiconductors Bull 3X ETF,SOXL,"필라델피아 반도체 지수 3배 추종. 반도체 업황 회복 시 큰 수익을 노린 공격적 투자"
12,TSLL,Direxion Daily Tesla Bull 2X ETF,TSLL,"테슬라 주가 2배 추종. 단기 주가 상승 기대감을 활용한 레버리지 전략"
13,마이크론,Micron Technology Inc.,MU,"메모리 반도체(DRAM·NAND) 선도 기업. AI 서버용 HBM 수요 급증의 핵심 수혜주"
14,SLV,iShares Silver Trust,SLV,"은 가격 추종 ETF. 원자재·인플레이션 헤지 수단으로 투자자 관심 증가"
